user,text,refined
David_Alaba,"b'We gave it our all, but unfortunately it was not enough yesterday. The result is hard to take for us but we\xe2\x80\x99ll boun\xe2\x80\xa6 https://t.co/jCCuSyvDu0'",We gave unfortun enough yesterday the result hard take u we’ll boun…
FranckRibery,b'We came to Bernabeu to make it to the final. We gave everything we had and still the journey ends here. Thank you f\xe2\x80\xa6 https://t.co/mn63ycLCNw',We came bernabeu make final We gave everyth still journey end thank f…
FCBayern,"b""Jubeln, hadern, antreiben, dirigieren. \xf0\x9f\x91\x89\xf0\x9f\x92\xaa\xf0\x9f\x91\x8f\n#Heynckes' #UCL-Kreis schlie\xc3\x9ft sich. \n\xe2\x9e\xa1 https://t.co/9zUMBSf8qa #RMAFCB\xe2\x80\xa6 https://t.co/PKKCGqTxfe""",jubeln hadern antreiben dirigieren heynck uclkrei schließt sich rmafcb…
matshummels,"b'Tough night for us, still hard to accept https://t.co/EjXYeuzS1s'",tough night u still hard accept
philipplahm,b'Official handover of the Bid-Book to the @UEFA. We are completely convinced that we have submitted a strong applica\xe2\x80\xa6 https://t.co/tq07A8K02v',offici handov bidbook We complet convinc submit strong applica…
archanaserver,b'Had an interactive session on Sunday at @innov8cowork!\nThank you @WTM_Delhi and @gdg_nd  for the opportunity also f\xe2\x80\xa6 https://t.co/738iwlk14Q',had interact session sunday thank opportun also f…
NipsConference,b'The NIPS executive board is currently discussing the possibility of changing the name of the NIPS conference. At th\xe2\x80\xa6 https://t.co/OnhxkpyOTU',the nip execut board current discus possibl chang name nip confer At th…
philipplahm,"b'Congratulations on the sixth German Championship in a row, @FCBayern! Great match and a completely deserved title \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc'",congratul sixth german championship row great match complet deserv titl
humblethepoet,"b""thick skin doesn't just block out the hate, it blocks out the love too, and everything else people throw your way\n\nit's okay to feel shit""",thick skin doesnt block hate block love everyth el peopl throw way okay feel shit
random_forests,"b""We're beginning to update tutorials on https://t.co/BsLdHtNezs to link directly to Colab notebooks. Read about a co\xe2\x80\xa6 https://t.co/vstwNBv319""",were begin updat tutori link directli colab notebook read co…
goodfellow_ian,"b""In the first paper about adversarial examples, we focused on imperceptible perturbations. Since 2014, we've worked\xe2\x80\xa6 https://t.co/ob8sA4VRbs""",In first paper adversari exampl focus impercept perturb sinc weve worked…
WiMLDS_Delhi,b'A look back at Machine Learning Unplugged - The launch event of WiMLDS Delhi Chapter!\n\nhttps://t.co/lXEpX6FiPX\xe2\x80\xa6 https://t.co/CVgBr8Ixej',A look back machin learn unplug the launch event wimld delhi chapter
goodfellow_ian,"b""I'm frustrated with how much conflict / unjustified demand for credit there is in deep learning today. Someone wrot\xe2\x80\xa6 https://t.co/EN4U0Snf8J""",Im frustrat much conflict unjustifi demand credit deep learn today someon wrot…
philipplahm,b'Heute durfte ich beim L\xc3\xa4nderspiel Deutschland gegen Spanien in meiner Rolle als EM-Botschafter viele spannende Them\xe2\x80\xa6 https://t.co/g6QSiXO7iz',heut durft ich beim länderspiel deutschland gegen spanien meiner roll al embotschaft viel spannend them…
MiloVentimiglia,b'Real proud Molly :) Mi https://t.co/tUlF4FoiS5',real proud molli Mi
goodfellow_ian,"b'.@harinidkannan , @alexey2004 and I will do an AMA on Adversarial Logit Pairing, the state of the art defense again\xe2\x80\xa6 https://t.co/2fCZyfZINO'",I ama adversari logit pair state art defens again…
ChampionsLeague,b'QUIZ: Which final &amp; what was the score? \xf0\x9f\xa4\x94\n\n#UCL https://t.co/41QO2MyjNe',quiz which final amp score ucl
JadejaDA,b'#WomenTechmakers at India Cloud Community Connect at #Gurgaon. https://t.co/DnfRDAXQYS',womentechmak india cloud commun connect gurgaon
WiMLDS_Delhi,b'Prerna Khurana is a @IIITDelhi alumni and is currently working at @TCS Research. She talks about using LSTMs for FA\xe2\x80\xa6 https://t.co/xozeLTFXUy',prerna khurana alumnus current work research she talk use lstm fa…
AkshitaAggarw18,"b'Somya, an MBA in Finance from NMIMS, Mumbai and a https://t.co/EX5jSvNDPW Hons gold medalist from the University of\xe2\x80\xa6 https://t.co/cWYmDbYeSZ'",somya mba financ nmim mumbai hon gold medalist univers of…
rahmeen_habib,"b'Somya Sahu on ""Making a career in Machine Learning with a non-technical background""\n@WiMLDS_Delhi \n#mlunplugged https://t.co/VRtwtxzXOq'",somya sahu make career machin learn nontechn background mlunplug
WiMLDS_Delhi,b'Somya Sahu is a MBA Finance from @nmims_india and addresses the ML enthusiasts with a non-technical background!\xe2\x80\xa6 https://t.co/BlDJ9OZrNI',somya sahu mba financ address ML enthusiast nontechn background…
WiMLDS_Delhi,"b'Dr. Amita Kapoor talks about Mastering Machine learning at #MLUnplugged! She is an Associate Professor at SRCASW,\xe2\x80\xa6 https://t.co/OCrO7Uodil'",Dr amita kapoor talk master machin learn mlunplug she associ professor srcasw…
kathitagoel,b'@WiMLDS_Delhi \nBrilliant talk by Dr. Amita Kapoor https://t.co/0uuQHU3rw2',brilliant talk Dr amita kapoor
AkshitaAggarw18,"b'An Associate Professor at the University of Delhi, Dr. Amita Kapoor talking about Mastering Machine Learning.\xe2\x80\xa6 https://t.co/euQiKzAz0y'",An associ professor univers delhi Dr amita kapoor talk master machin learning…
rahmeen_habib,"b'@WiMLDS_Delhi \nDeep Learning for Augmented Reality by Ramya Hebbalaguppe, Scientist @tcs innovation lab\xe2\x80\xa6 https://t.co/4govaQB471'",deep learn augment realiti ramya hebbalagupp scientist innov lab…
WiMLDS_Delhi,"b'Ramya is a Scientist at TCS Innovation Labs, and talks about Deep Learning for Augmented Reality at #MLUnplugged\xe2\x80\xa6 https://t.co/zY0EzoSzY6'",ramya scientist tc innov lab talk deep learn augment realiti mlunplugged…
ledell,b'I just gave a live video presentation \xf0\x9f\x93\xba in Delhi about the history of @wimlds at the kick-off event for the\xe2\x80\xa6 https://t.co/NkAAyPt47A',I gave live video present delhi histori kickoff event the…
AkshitaAggarw18,"b'@WiMLDS_Delhi\n#mlunplugged\nTalk by Utkalia Badu\n""Generating value through advances in ml"" https://t.co/87pp7O4deP'",mlunplug talk utkalia badu gener valu advanc ml
WiMLDS_Delhi,"b'@shubhi_sareen, Chapter Head of Delhi Women in ML and DS introducing the first speaker of MLUnplugged - @ledell!\xe2\x80\xa6 https://t.co/CftMCstpbR'",chapter head delhi woman ML DS introduc first speaker mlunplug
philipplahm,"b'Siebter Viertelfinaleinzug in Folge. Klasse Leistung, @FCBayern \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc #MiaSanMia'",siebter viertelfinaleinzug folg klass leistung miasanmia
FCBayern,b'Ihr habt gew\xc3\xa4hlt! \xf0\x9f\x98\x81 #MiaSanMia #BJKFCB https://t.co/aOIqSODDpF',ihr habt gewählt miasanmia bjkfcb
FCBayern,b'Der n\xc3\xa4chste Schritt. \xf0\x9f\x8f\x86 #MiaSanMia https://t.co/wLbJoS09Mi',der nächste schritt miasanmia
WiMLDS_Delhi,"b""Here's is a great opportunity for #womenintech to enhance your knowledge and skills on #MachineLearning !!\nAttend o\xe2\x80\xa6 https://t.co/kxDaDuLGIv""",here great opportun womenintech enhanc knowledg skill machinelearn attend o…
kumailn,b'I like @SarahKSilverman https://t.co/wPzAKhq2n2',I like
thisIsRGupta,b'When you make an app for dad and get praised for it \xe2\x9c\xa8',when make app dad get prais
goodfellow_ian,b'4 years of GAN progress (source: https://t.co/hlxW3NnTJP ) https://t.co/kmK5zikayV',year gan progress sourc
humblethepoet,"b'what did you do today to bring your dreams to life?\n\nif you did nothing, then expect nothing'",today bring dream life noth expect noth
philipplahm,"b""I've shared outstanding moments and great victories with this club. Happy 118th birthday, @FCBayern! #MiaSanMia https://t.co/TKODJ899jA""",ive share outstand moment great victori club happi birthday miasanmia
WomenWhoCode,b'#MondayMotivation https://t.co/1H5HlGeO37',mondaymotiv
TeamSuperDillii,b'SO want to attend the @YouTubeFanFest ! #YTFFPH',SO want attend ytffph
CodessForum,"b'In order to achieve success, we must support each other! #MondayMotivation #GirlsInSTEM #WomenInSTEM #CodessQuote https://t.co/zKi3laPQhQ'",In order achiev success must support mondaymotiv girlsinstem womeninstem codessquot
IISuperwomanII,b'This is a real candid photo. I pride myself in having friends like @humblethepoet who are stalkerish enough to take\xe2\x80\xa6 https://t.co/46pyqTx4jN',thi real candid photo I pride friend like stalkerish enough take…
dtu_ieee,b'IEEE DTU proudly announces The Souled Store @thesouledstore as the Official Gift Partner for the upcoming technolog\xe2\x80\xa6 https://t.co/ILAF26wIle',ieee dtu proudli announc the soul store offici gift partner upcom technolog…
TeamSuperDillii,"b'I randomly realised @edsheeran is a pure genius. He first released addition(+) then multiple addition(X), now multi\xe2\x80\xa6 https://t.co/di28YcFLH4'",I randomli realis pure geniu He first releas addition+ multipl additionx multi…
goodfellow_ian,"b'Our ICLR submission ""Many paths to equilibrium"" has been accepted. This submission corrects a few common misconcept\xe2\x80\xa6 https://t.co/hOrP73lgF9'",our iclr submiss mani path equilibrium accept thi submiss correct common misconcept…
JeffDean,b'Really nice work by @yaroslavvb and others. https://t.co/k7QAG4V6jz',realli nice work other
IISuperwomanII,"b""I'm trying to surround myself with people who fill my soul.""",Im tri surround peopl fill soul
goodfellow_ian,b'I never heard back from MIT. I got rejected from CMU. I was accepted to U of T but not to work with the PI I wanted\xe2\x80\xa6 https://t.co/T3T3RjzZQF',I never heard back mit I got reject cmu I accept U T work PI I wanted…
thisIsRGupta,b'@whomahima @finah @shubhi_sareen All we puny creatures are here for just food and sleep. Dreams and aspirations are just in the path.',all puni creatur food sleep dream aspir path
thisIsRGupta,b'@whomahima @finah If you die who will go out with @shubhi_sareen https://t.co/n1hHdU9hiH',If die go
WWCode_Delhi,"b""We're glad that @dottechdomains is partnering with us for our Dec 23rd event on Competitive Programming! \n\nThey wil\xe2\x80\xa6 https://t.co/V2hGcYCYY0""",were glad partner u dec event competit program they wil…
philipplahm,"b'Nachdem ich mit meiner Stiftung bei der Auswahl der nominierten Startups mitgewirkt habe, durfte ich am Donnerstag\xe2\x80\xa6 https://t.co/QVxiJKz4OD'",nachdem ich mit meiner stiftung bei der auswahl der nominierten startup mitgewirkt habe durft ich donnerstag…
IISuperwomanII,b'I should probably start being healthy soon.',I probabl start healthi soon
IISuperwomanII,b'Always a pleasure chatting with @sundarpichai. I have a psychology degree and he\xe2\x80\x99s the CEO of Google so we have a l\xe2\x80\xa6 https://t.co/HWq8EHvcO5',alway pleasur chat I psycholog degre he’ ceo googl l…
RanveerOfficial,b'Bawse https://t.co/p7PKQoKWuE',baws
googlestudents,"b'Googleyness, tuberculosis, robots, &amp; teamwork \xf0\x9f\xa4\x96\xf0\x9f\xa4\xb7? Our #GoogleInterns talk internships on The Keyword:\xe2\x80\xa6 https://t.co/2mreT6GuV7'",googley tuberculosi robot amp teamwork our googleintern talk internship the keyword…
CodessForum,b'Happy Birthday to the brilliant #KatherineJohnson! You are an inspiration to all #WomenInSTEM. https://t.co/Ivfr2y6EVJ',happi birthday brilliant katherinejohnson you inspir womeninstem
googlestudents,b'Computer vision: \xf0\x9f\x91\x8d\nDeep learning: \xe2\x9c\x85\nNeural networks: \xf0\x9f\x99\x8c\nAndroid pic: \xf0\x9f\x92\x81\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\n\n#GoogleInterns do it all! Meet Philip:\xe2\x80\xa6 https://t.co/XzejetakmV',comput vision deep learn neural network android pic googleintern meet philip…
philipplahm,"b'Gestern wurde ich bei den @SPORTBILD-Awards als ""Star des Jahres"" ausgezeichnet. Das freut mich besonders, weil es\xe2\x80\xa6 https://t.co/0gQmvm6APj'",gestern wurd ich bei den al star de jahr ausgezeichnet da freut mich besond weil es…
TeamSuperDillii,"b""// Am I the only one who's still eagerly waiting for @IISuperwomanII 's vlog channel upgrade she filmed on the green screen? \xf0\x9f\x99\x84""",Am I one who still eagerli wait vlog channel upgrad film green screen
IISuperwomanII,"b""PSA: if you choose to unfollow me on twitter or anywhere else for whatever reason, you don't gotta let me know. I'll be fine. Trust me.""",psa choos unfollow twitter anywher el whatev reason dont got ta let know ill fine trust
philipplahm,"b'Many people are talking about #UCL but first we have to focus on the Bundesliga. So, let\xe2\x80\x99s get these three points t\xe2\x80\xa6 https://t.co/HxogPx6x3o'",mani peopl talk ucl first focu bundesliga So let’ get three point t…
i4CIndia,b'Winner #SmartIndiaHackathon2017 for @GoI_MeitY at Pune centre - Team Jaan Hitt Me Jaari! Congratulations!!\xe2\x80\xa6 https://t.co/PyFoicy6nE',winner smartindiahackathon2017 pune centr team jaan hitt Me jaari congratulations…
shubhi_sareen,b'@Madhavspeaks @CodessForum \nDone That! Awaiting the reply.',done that await repli
shubhi_sareen,b'@Madhavspeaks Please get this corrected as well. Thank You! :) https://t.co/gufB1i8YGw',
shubhi_sareen,"b""@CodessForum CoCubes doesn't take in GPA, but in my college percentage system isn't followed. #CodessEvent""",cocub doesnt take gpa colleg percentag system isnt follow codessev
shubhi_sareen,b'@CodessForum CoCubes is not accepting https://t.co/KZ3NdKP1DT. as a valid degree. #CodessEvent',cocub accept valid degre codessev
shubhi_sareen,"b""@CodessForum The year of graduation for the same should be 2019. But CoCubes doesn't accept it. #CodessEvent""",the year graduat but cocub doesnt accept codessev
shubhi_sareen,b'@CodessForum What is the Codess Event going to be about? #CodessEvent',what code event go codessev
